Full transcript (this run) is also saved to: assign2_run_20260509_084904.log

Training on device: cpu
Start TorchRL-DoubleDQN training...
Ep:   100 | R:  133.75 | R500:  41.44 | R[p25/p50/p75]: -91.9/ 113.9/ 139.1 | W/L/D:59.0%/41.0%/ 0.0% | Loss(ep):4.80220 | Loss(ma):4.11409±2.38085 | Eps:0.951 | LR:5.0e-05 | Buf:  3109 | T:3.1s
Ep:   200 | R:  123.75 | R500:  44.61 | R[p25/p50/p75]: -91.6/ 115.4/ 134.8 | W/L/D:61.5%/38.5%/ 0.0% | Loss(ep):4.54250 | Loss(ma):4.19177±2.46609 | Eps:0.905 | LR:5.0e-05 | Buf:  6099 | T:6.2s
Ep:   300 | R:  114.75 | R500:  32.71 | R[p25/p50/p75]: -96.2/ 111.8/ 132.8 | W/L/D:56.0%/44.0%/ 0.0% | Loss(ep):4.36936 | Loss(ma):4.32246±2.47984 | Eps:0.861 | LR:5.0e-05 | Buf:  9184 | T:9.3s
Ep:   400 | R:  -78.75 | R500:  35.40 | R[p25/p50/p75]: -95.0/ 112.0/ 133.8 | W/L/D:57.0%/43.0%/ 0.0% | Loss(ep):4.05208 | Loss(ma):4.37350±2.47333 | Eps:0.819 | LR:5.0e-05 | Buf: 12188 | T:12.3s
Ep:   500 | R:  127.75 | R500:  40.24 | R[p25/p50/p75]: -93.1/ 114.6/ 134.2 | W/L/D:59.0%/41.0%/ 0.0% | Loss(ep):4.22850 | Loss(ma):4.44335±2.45580 | Eps:0.779 | LR:5.0e-05 | Buf: 15205 | T:15.3s
Ep:   600 | R:  137.75 | R500:  42.33 | R[p25/p50/p75]: -93.0/ 115.6/ 134.4 | W/L/D:60.0%/40.0%/ 0.0% | Loss(ep):4.66315 | Loss(ma):4.50731±2.47547 | Eps:0.741 | LR:5.0e-05 | Buf: 18031 | T:18.1s
Ep:   700 | R:  141.00 | R500:  44.16 | R[p25/p50/p75]: -92.6/ 116.0/ 136.2 | W/L/D:60.6%/39.4%/ 0.0% | Loss(ep):5.21673 | Loss(ma):4.50312±2.48759 | Eps:0.705 | LR:5.0e-05 | Buf: 20750 | T:20.8s
Ep:   800 | R:  132.25 | R500:  55.95 | R[p25/p50/p75]: -88.6/ 118.6/ 137.1 | W/L/D:65.8%/34.2%/ 0.0% | Loss(ep):4.58895 | Loss(ma):4.51432±2.44744 | Eps:0.670 | LR:5.0e-05 | Buf: 23632 | T:23.7s
Ep:   900 | R:  128.25 | R500:  62.62 | R[p25/p50/p75]: -80.9/ 119.8/ 137.6 | W/L/D:68.8%/31.2%/ 0.0% | Loss(ep):4.26202 | Loss(ma):4.56446±2.44845 | Eps:0.638 | LR:5.0e-05 | Buf: 26272 | T:26.4s
Ep:  1000 | R:  118.00 | R500:  65.67 | R[p25/p50/p75]: -77.2/ 120.1/ 138.2 | W/L/D:70.2%/29.8%/ 0.0% | Loss(ep):5.29936 | Loss(ma):4.61455±2.47848 | Eps:0.606 | LR:5.0e-05 | Buf: 28957 | T:29.1s
[Eval@1000] W/L/D=178/22/0 | WR/LR/DR:89.0%/11.0%/0.0% | AvgR:112.07
Ep:  1100 | R:  -98.50 | R500:  66.63 | R[p25/p50/p75]: -77.2/ 120.8/ 137.8 | W/L/D:70.6%/29.4%/ 0.0% | Loss(ep):4.83952 | Loss(ma):4.65988±2.46213 | Eps:0.577 | LR:5.0e-05 | Buf: 31548 | T:32.4s
Ep:  1200 | R:  124.50 | R500:  72.35 | R[p25/p50/p75]: -62.4/ 121.8/ 137.6 | W/L/D:73.0%/27.0%/ 0.0% | Loss(ep):4.84246 | Loss(ma):4.72929±2.42552 | Eps:0.549 | LR:5.0e-05 | Buf: 34139 | T:35.0s
Ep:  1300 | R:  -85.75 | R500:  75.38 | R[p25/p50/p75]: -53.6/ 122.8/ 137.8 | W/L/D:74.0%/26.0%/ 0.0% | Loss(ep):4.41168 | Loss(ma):4.81902±2.44139 | Eps:0.522 | LR:5.0e-05 | Buf: 36629 | T:37.6s
Ep:  1400 | R:  124.00 | R500:  80.28 | R[p25/p50/p75]: 107.8/ 123.2/ 138.8 | W/L/D:76.2%/23.8%/ 0.0% | Loss(ep):5.11691 | Loss(ma):4.78530±2.41553 | Eps:0.496 | LR:5.0e-05 | Buf: 39019 | T:39.9s
Ep:  1500 | R:  117.75 | R500:  87.17 | R[p25/p50/p75]: 112.9/ 124.0/ 141.0 | W/L/D:78.8%/21.2%/ 0.0% | Loss(ep):4.89052 | Loss(ma):4.81014±2.42305 | Eps:0.472 | LR:5.0e-05 | Buf: 41281 | T:42.2s
Ep:  1600 | R:  -87.25 | R500:  97.93 | R[p25/p50/p75]: 115.9/ 125.2/ 142.0 | W/L/D:83.6%/16.4%/ 0.0% | Loss(ep):4.48574 | Loss(ma):4.86650±2.44454 | Eps:0.449 | LR:5.0e-05 | Buf: 43299 | T:44.3s
Ep:  1700 | R:  -91.50 | R500: 102.81 | R[p25/p50/p75]: 116.8/ 126.9/ 142.0 | W/L/D:85.8%/14.2%/ 0.0% | Loss(ep):4.96111 | Loss(ma):4.92506±2.45905 | Eps:0.427 | LR:5.0e-05 | Buf: 45236 | T:46.2s
Ep:  1800 | R:  114.00 | R500: 109.72 | R[p25/p50/p75]: 118.0/ 126.8/ 141.5 | W/L/D:89.4%/10.6%/ 0.0% | Loss(ep):6.29879 | Loss(ma):4.95418±2.48001 | Eps:0.406 | LR:5.0e-05 | Buf: 47049 | T:48.0s
Ep:  1900 | R:  146.00 | R500: 112.16 | R[p25/p50/p75]: 118.0/ 126.4/ 140.8 | W/L/D:90.8%/ 9.2%/ 0.0% | Loss(ep):3.92412 | Loss(ma):4.99557±2.47581 | Eps:0.387 | LR:5.0e-05 | Buf: 48845 | T:49.8s
Ep:  2000 | R:  129.00 | R500: 113.82 | R[p25/p50/p75]: 118.0/ 125.8/ 138.6 | W/L/D:92.2%/ 7.8%/ 0.0% | Loss(ep):4.40362 | Loss(ma):5.04797±2.45628 | Eps:0.368 | LR:5.0e-05 | Buf: 50506 | T:51.5s
[Eval@2000] W/L/D=194/6/0 | WR/LR/DR:97.0%/3.0%/0.0% | AvgR:124.21
Ep:  2100 | R:  132.50 | R500: 115.51 | R[p25/p50/p75]: 119.0/ 125.0/ 137.6 | W/L/D:93.2%/ 6.8%/ 0.0% | Loss(ep):4.46485 | Loss(ma):5.15047±2.47479 | Eps:0.350 | LR:5.0e-05 | Buf: 52192 | T:53.5s
Ep:  2200 | R:  139.00 | R500: 117.58 | R[p25/p50/p75]: 119.0/ 126.0/ 137.5 | W/L/D:94.2%/ 5.8%/ 0.0% | Loss(ep):5.71262 | Loss(ma):5.23200±2.48345 | Eps:0.333 | LR:5.0e-05 | Buf: 53863 | T:55.2s
Ep:  2300 | R:  119.00 | R500: 119.08 | R[p25/p50/p75]: 119.0/ 126.1/ 137.3 | W/L/D:94.8%/ 5.2%/ 0.0% | Loss(ep):6.31424 | Loss(ma):5.28919±2.47905 | Eps:0.317 | LR:5.0e-05 | Buf: 55407 | T:56.8s
Ep:  2400 | R:  120.00 | R500: 120.75 | R[p25/p50/p75]: 120.0/ 126.8/ 137.5 | W/L/D:95.6%/ 4.4%/ 0.0% | Loss(ep):4.82762 | Loss(ma):5.33348±2.43033 | Eps:0.301 | LR:5.0e-05 | Buf: 56834 | T:58.2s
Ep:  2500 | R:  139.00 | R500: 122.03 | R[p25/p50/p75]: 120.0/ 127.0/ 138.0 | W/L/D:96.2%/ 3.8%/ 0.0% | Loss(ep):4.99080 | Loss(ma):5.40228±2.44318 | Eps:0.286 | LR:5.0e-05 | Buf: 58283 | T:59.6s
Ep:  2600 | R:  120.00 | R500: 123.68 | R[p25/p50/p75]: 120.0/ 126.8/ 137.8 | W/L/D:97.0%/ 3.0%/ 0.0% | Loss(ep):3.58060 | Loss(ma):5.46948±2.45546 | Eps:0.272 | LR:5.0e-05 | Buf: 59580 | T:60.9s
Ep:  2700 | R:  132.75 | R500: 125.07 | R[p25/p50/p75]: 120.0/ 125.8/ 136.8 | W/L/D:97.8%/ 2.2%/ 0.0% | Loss(ep):5.09285 | Loss(ma):5.54298±2.46103 | Eps:0.259 | LR:5.0e-05 | Buf: 60855 | T:62.2s
